"","model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","target_end_date"
"1","Model1","temperature","1 day","2022-02-09",5.94984002444471,7.79669379309214,8.76574000481914,9.73478621654614,11.5816399851936,"2022-02-10"
"2","Model1","temperature","2 day","2022-02-09",2.57222478916295,4.35202619559321,5.28588995882486,6.2197537220565,7.99955512848676,"2022-02-11"
"3","Model1","temperature","3 day","2022-02-09",0.703690790904135,2.79304741609123,3.88933514441911,4.985622872747,7.07497949793409,"2022-02-12"
"4","Model1","wind","1 day","2022-02-09",8.85851901889248,13.9538987361999,17.3347844643856,20.7161839725717,27.1427249476819,"2022-02-10"
"5","Model1","wind","2 day","2022-02-09",11.8052424297109,19.476922043477,25.0800330710288,28.2832570744255,35.1533988238291,"2022-02-11"
"6","Model1","wind","3 day","2022-02-09",4.74933823654959,9.40945850817064,11.6041405702257,15.0014045552058,19.6803915814781,"2022-02-12"
"7","Model2","temperature","1 day","2022-02-09",3.52471948892123,6.9719143288126,8.78066126773677,10.5894082066609,14.0366030465523,"2022-02-10"
"8","Model2","temperature","2 day","2022-02-09",0.214681873237726,3.65031236488881,5.45299147752181,7.25567059015482,10.6913010818059,"2022-02-11"
"9","Model2","temperature","3 day","2022-02-09",-1.48746117807872,2.21190809968023,4.15297124460751,6.09403438953479,9.79340366729374,"2022-02-12"
"10","Model2","wind","1 day","2022-02-09",7.92987788291535,14.2675085934278,17.5928704253202,20.9182322572126,27.2558629677251,"2022-02-10"
"11","Model2","wind","2 day","2022-02-09",13.0145417804038,20.1725478611544,23.9283615556789,27.6841752502034,34.842181330954,"2022-02-11"
"12","Model2","wind","3 day","2022-02-09",3.4580849205826,8.86748730645628,11.7058067114501,14.5441261164439,19.9535285023175,"2022-02-12"
"13","Model3","temperature","1 day","2022-02-09",5.87400000216268,7.56788596980389,8.45666980743408,9.34545364506427,11.0393396127055,"2022-02-10"
"14","Model3","temperature","2 day","2022-02-09",2.41145222919962,4.36118817942581,5.38421678543091,6.40724539143601,8.35698134166219,"2022-02-11"
"15","Model3","temperature","3 day","2022-02-09",2.0359727688113,3.45825486732739,4.20452785491943,4.95080084251148,6.37308294102757,"2022-02-12"
"16","Model3","wind","1 day","2022-02-09",9.83740209797183,15.2439367284803,18.0807514190674,20.9175661096544,26.3241007401629,"2022-02-10"
"17","Model3","wind","2 day","2022-02-09",14.8236941335059,21.5671868926546,25.105504989624,28.6438230865935,35.3873158457421,"2022-02-11"
"18","Model3","wind","3 day","2022-02-09",5.18922576909187,9.0196870671652,11.0295343399048,13.0393816126444,16.8698429107177,"2022-02-12"
"19","Model4","temperature","1 day","2022-02-09",5.71184642346692,7.79669379309214,8.41511040462637,9.73478621654614,12.0449055846013,"2022-02-10"
"20","Model4","temperature","2 day","2022-02-09",2.46933579759643,4.35202619559321,5.07445436047187,6.2197537220565,8.31953733362623,"2022-02-11"
"21","Model4","temperature","3 day","2022-02-09",0.67554315926797,2.79304741609123,3.73376173864235,4.985622872747,7.35797867785145,"2022-02-12"
"22","Model4","wind","1 day","2022-02-09",8.50417825813678,13.9538987361999,16.6413930858102,20.7161839725717,28.2284339455892,"2022-02-10"
"23","Model4","wind","2 day","2022-02-09",11.3330327325225,19.476922043477,24.0768317481876,28.2832570744255,36.5595347767823,"2022-02-11"
"24","Model4","wind","3 day","2022-02-09",4.55936470708761,9.40945850817064,11.1399749474167,15.0014045552058,20.4676072447372,"2022-02-12"
"25","Model5","temperature","1 day","2022-02-09",3.38373070936438,6.9719143288126,8.4294348170273,10.5894082066609,14.5980671684144,"2022-02-10"
"26","Model5","temperature","2 day","2022-02-09",0.206094598308217,3.65031236488881,5.23487181842094,7.25567059015482,11.1189531250781,"2022-02-11"
"27","Model5","temperature","3 day","2022-02-09",-1.42796273095557,2.21190809968023,3.98685239482321,6.09403438953479,10.1851398139855,"2022-02-12"
"28","Model5","wind","1 day","2022-02-09",7.61268276759874,14.2675085934278,16.8891556083074,20.9182322572126,28.3460974864341,"2022-02-10"
"29","Model5","wind","2 day","2022-02-09",12.4939601091876,20.1725478611544,22.9712270934517,27.6841752502034,36.2358685841922,"2022-02-11"
"30","Model5","wind","3 day","2022-02-09",3.3197615237593,8.86748730645628,11.2375744429921,14.5441261164439,20.7516696424102,"2022-02-12"
"31","Model6","temperature","1 day","2022-02-09",5.63904000207617,7.56788596980389,8.11840301513672,9.34545364506427,11.4809131972137,"2022-02-10"
"32","Model6","temperature","2 day","2022-02-09",2.31499414003164,4.36118817942581,5.16884811401367,6.40724539143601,8.69126059532868,"2022-02-11"
"33","Model6","temperature","3 day","2022-02-09",1.95453385805885,3.45825486732739,4.03634674072265,4.95080084251148,6.62800625866867,"2022-02-12"
"34","Model6","wind","1 day","2022-02-09",9.44390601405296,15.2439367284803,17.3575213623047,20.9175661096544,27.3770647697694,"2022-02-10"
"35","Model6","wind","2 day","2022-02-09",14.2307463681657,21.5671868926546,24.101284790039,28.6438230865935,36.8028084795718,"2022-02-11"
"36","Model6","wind","3 day","2022-02-09",4.9816567383282,9.0196870671652,10.5883529663086,13.0393816126444,17.5446366271464,"2022-02-12"
