"","model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","target_end_date"
"1","Model1","temperature","1 day","2022-01-12",3.27331926308834,4.85657991305507,5.68731852434768,6.51805713564029,8.10131778560701,"2022-01-13"
"2","Model1","temperature","2 day","2022-01-12",3.59300085329822,5.21388959893431,6.06437171357402,6.91485382821373,8.53574257384982,"2022-01-14"
"3","Model1","temperature","3 day","2022-01-12",1.31967416398764,3.77708572390403,5.06649228289497,6.3558988418859,8.81331040180229,"2022-01-15"
"4","Model1","wind","1 day","2022-01-12",14.8714506652092,18.8240201742961,20.8112605696914,22.9185009652918,27.8370704788507,"2022-01-13"
"5","Model1","wind","2 day","2022-01-12",16.3813345098701,20.1617706088207,22.6135131116848,24.7052556182821,30.5256917986504,"2022-01-14"
"6","Model1","wind","3 day","2022-01-12",5.47284457575127,9.33892651025464,11.4853036445773,13.5132719569841,19.0994846244841,"2022-01-15"
"7","Model2","temperature","1 day","2022-01-12",3.15278671515751,4.74658846906689,5.58285800923783,6.41912754940876,8.01292930331815,"2022-01-13"
"8","Model2","temperature","2 day","2022-01-12",3.63319642519422,5.19892141003699,6.02045903847597,6.84199666691495,8.40772165175771,"2022-01-14"
"9","Model2","temperature","3 day","2022-01-12",1.09369838638926,3.66169896129301,5.00913169856151,6.35656443583,8.92456501073375,"2022-01-15"
"10","Model2","wind","1 day","2022-01-12",15.7167943196721,19.9652082122713,22.1943556728668,24.4235031334623,28.6719170260616,"2022-01-13"
"11","Model2","wind","2 day","2022-01-12",16.1956726838247,21.0254709491165,23.5596714320353,26.0938719149541,30.923670180246,"2022-01-14"
"12","Model2","wind","3 day","2022-01-12",4.53923029380833,9.50810677273453,12.1152817479191,14.7224567231036,19.6913332020298,"2022-01-15"
"13","Model3","temperature","1 day","2022-01-12",4.4110355353106,6.37846447698699,7.41077661514282,8.44308875329865,10.410517694975,"2022-01-13"
"14","Model3","temperature","2 day","2022-01-12",4.70697676879433,6.69941884594249,7.74485540390015,8.79029196185781,10.782734039006,"2022-01-14"
"15","Model3","temperature","3 day","2022-01-12",2.78521359897267,4.22052328282336,4.97363185882568,5.72674043482801,7.1620501186787,"2022-01-15"
"16","Model3","wind","1 day","2022-01-12",13.6190573308938,20.0602875532825,23.4400081634521,26.8197287736218,33.2609589960105,"2022-01-13"
"17","Model3","wind","2 day","2022-01-12",14.2460496339174,20.8418547445327,24.3026809692383,27.7635071939438,34.3593123045591,"2022-01-14"
"18","Model3","wind","3 day","2022-01-12",4.6542579834555,8.41593392518384,10.3896894454956,12.3634449658074,16.1251209075357,"2022-01-15"
"19","Model4","temperature","1 day","2022-01-12",3.14238649256481,4.85657991305507,5.45982578337377,6.51805713564029,8.42537049703129,"2022-01-13"
"20","Model4","temperature","2 day","2022-01-12",3.44928081916629,5.21388959893431,5.82179684503106,6.91485382821373,8.87717227680381,"2022-01-14"
"21","Model4","temperature","3 day","2022-01-12",1.26688719742813,3.77708572390403,4.86383259157917,6.3558988418859,9.16584281787438,"2022-01-15"
"22","Model4","wind","1 day","2022-01-12",14.2765926386008,18.8240201742961,19.9788101469037,22.9185009652918,28.9505532980047,"2022-01-13"
"23","Model4","wind","2 day","2022-01-12",15.7260811294753,20.1617706088207,21.7089725872174,24.7052556182821,31.7467194705964,"2022-01-14"
"24","Model4","wind","3 day","2022-01-12",5.25393079272122,9.33892651025464,11.0258914987942,13.5132719569841,19.8634640094635,"2022-01-15"
"25","Model5","temperature","1 day","2022-01-12",3.02667524655121,4.74658846906689,5.35954368886832,6.41912754940876,8.33344647545088,"2022-01-13"
"26","Model5","temperature","2 day","2022-01-12",3.48786856818645,5.19892141003699,5.77964067693693,6.84199666691495,8.74403051782802,"2022-01-14"
"27","Model5","temperature","3 day","2022-01-12",1.04995045093369,3.66169896129301,4.80876643061905,6.35656443583,9.2815476111631,"2022-01-15"
"28","Model5","wind","1 day","2022-01-12",15.0881225468852,19.9652082122713,21.3065814459521,24.4235031334623,29.8187937071041,"2022-01-13"
"29","Model5","wind","2 day","2022-01-12",15.5478457764717,21.0254709491165,22.6172845747539,26.0938719149541,32.1606169874558,"2022-01-14"
"30","Model5","wind","3 day","2022-01-12",4.357661082056,9.50810677273453,11.6306704780023,14.7224567231036,20.478986530111,"2022-01-15"
"31","Model6","temperature","1 day","2022-01-12",4.23459411389818,6.37846447698699,7.11434555053711,8.44308875329865,10.826938402774,"2022-01-13"
"32","Model6","temperature","2 day","2022-01-12",4.51869769804256,6.69941884594249,7.43506118774414,8.79029196185781,11.2140434005662,"2022-01-14"
"33","Model6","temperature","3 day","2022-01-12",2.67380505501376,4.22052328282336,4.77468658447265,5.72674043482801,7.44853212342585,"2022-01-15"
"34","Model6","wind","1 day","2022-01-12",13.074295037658,20.0602875532825,22.502407836914,26.8197287736218,34.5913973558509,"2022-01-13"
"35","Model6","wind","2 day","2022-01-12",13.6762076485607,20.8418547445327,23.3305737304688,27.7635071939438,35.7336847967415,"2022-01-14"
"36","Model6","wind","3 day","2022-01-12",4.46808766411728,8.41593392518384,9.97410186767578,12.3634449658074,16.7701257438371,"2022-01-15"
